epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,243.952,1.4127,2.65221,1.66128,1.35366,0,0.5823,0.4681,0.47572,0.23831,0.58251,0.44458,0.43978,0.20132,1.67661,2.69921,1.89222,1.64134,0,0.000554435,0.000554435,0.000554435
2,486.12,1.49213,2.67483,1.55481,1.40598,0,0.64232,0.48969,0.53364,0.29837,0.64782,0.47205,0.50096,0.25639,1.57106,2.65937,1.63055,1.50233,0,0.00108812,0.00108812,0.00108812
3,730.155,1.46084,2.6615,1.50773,1.38379,0,0.64407,0.54686,0.58608,0.32833,0.64732,0.52251,0.54964,0.27001,1.53101,2.53931,1.59292,1.44416,0,0.0015998,0.0015998,0.0015998
4,974.519,1.40342,2.52254,1.40401,1.33943,0,0.67062,0.56052,0.58912,0.35319,0.65789,0.52779,0.54565,0.27937,1.40904,2.4665,1.51919,1.3672,0,0.00156798,0.00156798,0.00156798
5,1215.46,1.33839,2.43765,1.29926,1.30244,0,0.7458,0.64277,0.70029,0.4381,0.73459,0.61253,0.6574,0.33989,1.31976,2.30159,1.17264,1.27953,0,0.00153497,0.00153497,0.00153497
6,1458.39,1.29194,2.34956,1.22741,1.27284,0,0.75155,0.64651,0.70993,0.45796,0.74637,0.62357,0.67922,0.38187,1.25843,2.13861,1.18484,1.25279,0,0.00150197,0.00150197,0.00150197
7,1699.91,1.25479,2.28026,1.16006,1.24803,0,0.75337,0.67128,0.73272,0.48791,0.75364,0.64735,0.70615,0.41233,1.22512,2.07916,1.09359,1.23226,0,0.00146896,0.00146896,0.00146896
8,1940.58,1.2184,2.20692,1.09429,1.22928,0,0.7742,0.67452,0.74635,0.50037,0.76958,0.65434,0.72116,0.41125,1.19217,2.02113,1.01329,1.19944,0,0.00143595,0.00143595,0.00143595
9,2182.06,1.18097,2.14777,1.04481,1.20396,0,0.78049,0.70162,0.76455,0.52575,0.78023,0.68567,0.74657,0.44706,1.13004,1.87791,0.97235,1.15955,0,0.00140295,0.00140295,0.00140295
10,2420.66,1.15148,2.09166,1.00495,1.19095,0,0.82916,0.72865,0.80408,0.55801,0.83183,0.71665,0.78449,0.46159,1.09374,1.81357,0.93957,1.12711,0,0.00136994,0.00136994,0.00136994
